'No','Grape','Winery','Appelation','Name','Year','Price','Score','Cases'
68,'Pinot Noir','Kosta Browne','Sonoma Coast','Kanzler Vineyard',2008,72,94,564
69,'Pinot Noir','Lynmar','Russian River Valley','Five Sisters',2007,100,94,147
70,'Pinot Noir','Kosta Browne','Santa Lucia Highlands','Pisoni Vineyard',2008,72,93,115
71,'Pinot Noir','Kosta Browne','Santa Lucia Highlands','Rosella''s Vineyard',2008,72,93,255
72,'Pinot Noir','Landmark','Sonoma Coast','Kanzler Vineyard',2008,65,93,200
73,'Pinot Noir','Lynmar','Russian River Valley','Valley Bliss Block',2008,70,93,152
74,'Pinot Noir','Patz & Hall','Sonoma Coast','Pinot Noir',2008,42,93,3103
75,'Pinot Noir','Valdez Family','Russian River Valley','Lancel Creek Vineyard',2007,55,93,130
76,'Pinot Noir','De Loach','Green Valley of Russian River Valley','Pinot Noir',2008,45,92,1467
77,'Pinot Noir','Kosta Browne','California','4-Barrel',2008,72,92,97
78,'Pinot Noir','Kosta Browne','Sonoma Coast','Gap''s Crown Vineyard',2008,68,92,690
79,'Pinot Noir','Kosta Browne','Sonoma Coast','Pinot Noir',2008,52,90,3554
80,'Pinot Noir','Rusack','Sta. Rita Hills','Reserve',2008,40,89,340
81,'Pinot Noir','Acacia','California','A by Acacia',2008,17,88,58231
82,'Pinot Noir','Alma Rosa','Sta. Rita Hills','La Encantada Vineyard',2008,43,88,591
83,'Pinot Noir','Alma Rosa','Sta. Rita Hills','La Encantada Vineyard Clone 667',2008,43,88,358
84,'Pinot Noir','Artesa','Carneros','Estate Reserve',2007,40,88,3527
85,'Pinot Noir','Robert Mondavi','Napa Valley','Carneros',2008,28,88,30300
86,'Pinot Noir','Pfendler','Sonoma Coast','Pinot Noir',2008,45,88,400
87,'Pinot Noir','Roar','Santa Lucia Highlands','Garys'' Vineyard',2008,50,88,710
88,'Pinot Noir','Rusack','Santa Maria Valley','Pinot Noir',2008,36,88,833
